12/09/2021,47224,13:07:04,4,10,7,9,9,11,15,12,1631477224963
12/09/2021,47226,13:07:06,2,18,9,5,9,10,9,5,1631477226079
12/09/2021,47227,13:07:07,6,11,12,10,10,14,17,9,1631477227099
12/09/2021,47228,13:07:08,1,17,9,8,11,11,8,9,1631477228134
12/09/2021,47229,13:07:09,1,10,11,8,9,12,7,8,1631477229152
12/09/2021,47230,13:07:10,1,12,10,5,11,11,15,14,1631477230169
12/09/2021,47231,13:07:11,10,8,12,7,10,15,10,18,1631477231185
12/09/2021,47232,13:07:12,10,13,11,7,11,16,13,18,1631477232212
12/09/2021,47233,13:07:13,6,13,7,7,9,12,11,6,1631477233230
12/09/2021,47234,13:07:14,1,18,7,6,11,15,8,10,1631477234243
12/09/2021,47235,13:07:15,0,15,11,4,11,12,14,12,1631477235258
12/09/2021,47236,13:07:16,10,15,12,9,11,14,7,6,1631477236293
12/09/2021,47237,13:07:17,5,17,10,4,11,11,13,16,1631477237466
12/09/2021,47238,13:07:18,7,15,14,7,10,16,7,7,1631477238489
12/09/2021,47239,13:07:19,8,11,11,10,9,14,7,4,1631477239513
12/09/2021,47240,13:07:20,5,13,12,5,11,10,12,5,1631477240543
12/09/2021,47241,13:07:21,6,10,15,6,9,15,13,5,1631477241570
12/09/2021,47242,13:07:22,5,18,9,7,11,14,18,15,1631477242586
12/09/2021,47243,13:07:23,1,9,12,4,11,15,16,15,1631477243606
12/09/2021,47244,13:07:24,0,8,10,4,11,14,10,14,1631477244626
12/09/2021,47245,13:07:25,7,13,13,6,10,11,17,9,1631477245656
12/09/2021,47246,13:07:26,4,11,9,6,9,14,9,16,1631477246672
12/09/2021,47247,13:07:27,2,15,10,9,11,12,17,6,1631477247695
12/09/2021,47248,13:07:28,1,14,10,4,10,16,9,9,1631477248708
12/09/2021,47249,13:07:29,6,10,9,5,10,14,14,11,1631477249712
12/09/2021,47250,13:07:30,1,18,11,4,9,10,15,8,1631477250720
12/09/2021,47251,13:07:31,4,18,13,7,11,14,13,11,1631477251737
12/09/2021,47252,13:07:32,1,12,15,9,9,12,7,6,1631477252772
12/09/2021,47253,13:07:33,6,18,10,6,9,15,10,6,1631477253874
12/09/2021,47254,13:07:34,2,15,13,7,9,10,11,16,1631477254880
12/09/2021,47255,13:07:35,1,13,10,10,11,11,17,17,1631477255896
12/09/2021,47256,13:07:36,5,11,15,5,9,16,14,15,1631477256905
12/09/2021,47257,13:07:37,7,14,11,7,11,12,13,13,1631477257922
12/09/2021,47258,13:07:38,4,11,13,4,10,11,14,6,1631477258926
12/09/2021,47259,13:07:39,9,10,11,10,10,13,8,7,1631477259948
12/09/2021,47260,13:07:40,5,18,8,6,11,12,14,5,1631477260963
12/09/2021,47261,13:07:41,6,9,13,5,10,11,16,6,1631477261980
12/09/2021,47262,13:07:42,4,11,14,5,10,15,9,10,1631477262994
12/09/2021,47264,13:07:44,4,14,10,6,10,14,15,18,1631477264011
12/09/2021,47265,13:07:45,5,9,7,4,11,16,9,16,1631477265028
12/09/2021,47266,13:07:46,3,12,9,7,11,12,12,13,1631477266043
12/09/2021,47267,13:07:47,9,10,14,10,9,12,8,12,1631477267059
12/09/2021,47268,13:07:48,3,16,10,10,10,11,16,10,1631477268077
12/09/2021,47269,13:07:49,6,14,11,7,10,13,11,15,1631477269133
12/09/2021,47270,13:07:50,3,17,9,10,9,15,8,9,1631477270185
12/09/2021,47271,13:07:51,6,16,13,8,10,16,9,14,1631477271198
12/09/2021,47272,13:07:52,8,16,7,5,10,15,14,7,1631477272214
12/09/2021,47273,13:07:53,5,11,14,8,11,12,7,13,1631477273226
12/09/2021,47274,13:07:54,6,17,8,4,9,12,19,6,1631477274246
12/09/2021,47275,13:07:55,6,18,11,5,11,16,7,6,1631477275267
12/09/2021,47276,13:07:56,7,18,14,9,10,16,11,15,1631477276283
12/09/2021,47277,13:07:57,1,11,11,8,11,12,17,7,1631477277307
12/09/2021,47278,13:07:58,5,15,7,8,10,16,18,13,1631477278318
12/09/2021,47279,13:07:59,10,15,12,7,11,11,8,4,1631477279325
12/09/2021,47280,13:08:00,8,9,9,6,10,16,9,15,1631477280359
12/09/2021,47281,13:08:01,4,15,14,6,9,10,9,10,1631477281422
12/09/2021,47282,13:08:02,9,16,11,7,10,14,16,13,1631477282435
12/09/2021,47283,13:08:03,7,15,8,8,11,14,15,16,1631477283455
12/09/2021,47284,13:08:04,1,10,12,9,10,10,14,18,1631477284478
12/09/2021,47285,13:08:05,2,13,11,9,10,14,16,6,1631477285493
12/09/2021,47286,13:08:06,8,16,8,4,9,12,9,10,1631477286508
12/09/2021,47287,13:08:07,6,16,14,10,10,11,13,5,1631477287523
12/09/2021,47288,13:08:08,2,11,9,8,10,12,8,15,1631477288532
12/09/2021,47289,13:08:09,3,18,7,10,11,11,10,5,1631477289538
12/09/2021,47290,13:08:10,1,12,7,5,10,11,19,16,1631477290541
12/09/2021,47291,13:08:11,7,9,12,5,10,14,15,15,1631477291551
12/09/2021,47292,13:08:12,7,8,11,7,10,11,9,17,1631477292570
12/09/2021,47293,13:08:13,5,9,13,6,10,16,16,16,1631477293573
12/09/2021,47294,13:08:14,2,14,15,6,10,13,19,11,1631477294588
12/09/2021,47295,13:08:15,6,14,13,6,11,12,17,10,1631477295604
12/09/2021,47296,13:08:16,5,11,8,10,9,13,14,15,1631477296631
12/09/2021,47297,13:08:17,5,8,11,10,11,11,15,18,1631477297665
12/09/2021,47298,13:08:18,7,12,12,6,9,13,15,6,1631477298684
12/09/2021,47299,13:08:19,1,8,13,6,10,12,17,15,1631477299705
12/09/2021,47300,13:08:20,2,16,11,8,9,12,18,10,1631477300715
12/09/2021,47301,13:08:21,5,18,8,8,10,14,11,16,1631477301731
12/09/2021,47302,13:08:22,6,10,12,6,11,13,14,4,1631477302741
12/09/2021,47303,13:08:23,8,8,9,6,10,16,13,15,1631477303746
12/09/2021,47304,13:08:24,6,11,13,8,10,16,15,4,1631477304760
12/09/2021,47305,13:08:25,4,14,12,10,11,16,9,9,1631477305774
12/09/2021,47306,13:08:26,10,13,7,8,9,11,15,5,1631477306778
12/09/2021,47307,13:08:27,7,18,12,5,9,12,8,4,1631477307793
12/09/2021,47308,13:08:28,4,18,8,5,10,15,16,17,1631477308810
12/09/2021,47309,13:08:29,4,14,13,7,9,11,8,11,1631477309822
12/09/2021,47310,13:08:30,6,13,15,9,9,16,13,4,1631477310833
12/09/2021,47311,13:08:31,1,18,10,7,10,10,15,5,1631477311836
12/09/2021,47312,13:08:32,5,9,15,4,9,13,8,17,1631477312856
12/09/2021,47313,13:08:33,6,16,10,6,10,15,18,13,1631477313882
12/09/2021,47314,13:08:34,3,13,8,10,11,13,9,11,1631477314894
12/09/2021,47315,13:08:35,7,16,7,9,11,12,13,4,1631477315897
12/09/2021,47316,13:08:36,2,15,15,4,9,10,18,18,1631477316908
12/09/2021,47317,13:08:37,7,18,8,4,10,16,16,8,1631477317917
12/09/2021,47318,13:08:38,8,14,13,5,11,10,12,16,1631477318931
